latitude,longitude
37.63291,-122.08962
37.63291,-122.08962
37.63291,-122.08962
38.19057,-120.67
39.20731,-122
38.00646,-122.131
37.8923,-122.05828
37.8923,-122.05828
37.8923,-122.05828
37.99,-122.04
37.78,-121.96
36.83745,-119.66072
36.83745,-119.66072
36.83745,-119.66072
36.60789,-119.451
39.52055,-122.207
40.90351,-124.09
37.36207,-118.407
35.41216,-119.039
39.10232,-122.91
40.42306,-120.646
34.69,-118.16
34.04,-118.27
34.09626,-117.745
33.94,-118.13
34.15686,-118.486
34.12867,-117.866
34.1,-118.29
33.81,-118.34
34.17,-118.53
34.05308,-118.136
33.91108,-118.064
34.24088,-118.395
34.16,-118.33
34.19,-118.46
34.07042,-117.945
34.05,-118.22
37.50045,-119.976
41.48001,-120.544
37.64524,-118.964
36.2071,-121.132
36.69686,-121.629
33.80327,-118.0674
33.80327,-118.0674
33.80327,-118.0674
33.7745,-117.913
33.49973,-117.742
33.89,-117.93
38.76515,-121.24922
38.76515,-121.24922
38.76515,-121.24922
38.74636,-121.25107
38.74636,-121.25107
38.74636,-121.25107
40.30547,-121.233
33.61315,-114.595
38.67,-121.31
38.47144,-121.42409
38.47144,-121.42409
38.47144,-121.42409
34.24728,-116.889
34.26583,-117.167
34.8325,-114.618
32.78,-117.06
32.8,-117.16
32.9,-117.24
37.76,-122.46
37.53017,-122.299
34.43336,-119.809
37.25,-121.94
37.31,-121.93
41.02423,-121.424
38.12839,-122.24761
38.12839,-122.24761
38.12839,-122.24761
38.39825,-122.821
38.47,-122.71
40.73784,-122.94
34.21,-118.89
34.44221,-119.263
37.79925,-122.23138
37.79925,-122.23138
37.79925,-122.23138
37.63291,-122.08962
37.63291,-122.08962
37.63291,-122.08962
37.69,-121.88
39.36701,-121.689
37.98222,-121.8054
37.98222,-121.8054
37.98222,-121.8054
37.8923,-122.05828
37.78,-121.96
36.83745,-119.66072
36.83745,-119.66072
36.83745,-119.66072
36.15152,-120.34
39.52055,-122.207
40.90351,-124.09
40.78,-124.14
37.36207,-118.407
39.10232,-122.91
34.04,-118.27
34.09626,-117.745
33.83377,-118.081
34.13219,-117.973
34.01897,-118.187
33.94,-118.13
34.02383,-118.183
34.15686,-118.486
34.07,-118.12
34.09628,-118.325
34.14,-118.15
34.17,-118.53
34.13,-118.26
33.80759,-118.193
33.97,-118.05
34.06879,-118.263
33.93,-118.2
34.03,-118.48
34.16,-118.33
34.06,-118.27
34.07042,-117.945
34.4,-118.55
34.06,-118.21
37.95,-122.54
37.64524,-118.964
36.2071,-121.132
39.32453,-120.201
33.78785,-117.825
33.82,-117.91
33.80327,-118.0674
33.80327,-118.0674
33.71112,-117.885
33.7745,-117.913
33.65921,-117.77401
33.65921,-117.77401
33.65921,-117.77401
38.76515,-121.24922
38.76515,-121.24922
38.76515,-121.24922
38.74636,-121.25107
38.74636,-121.25107
38.74636,-121.25107
39.93921,-120.962
40.30547,-121.233
38.67,-121.31
38.47144,-121.42409
38.47144,-121.42409
34.24728,-116.889
34.26583,-117.167
34.54,-117.27
34.8325,-114.618
34.47,-117.3
32.78,-117.06
32.89654,-117.241
37.79,-122.43
37.59,-122.38
34.43336,-119.809
34.95,-120.41
34.60243,-120.127
37.33,-121.94
41.31894,-122.323
38.12839,-122.24761
38.12839,-122.24761
38.12839,-122.24761
38.26,-122.05
38.47,-122.71
37.51052,-120.83966
37.51052,-120.83966
37.51052,-120.83966
39.14,-121.59
37.79925,-122.23138
37.79925,-122.23138
37.79925,-122.23138
37.63291,-122.08962
37.63291,-122.08962
37.63291,-122.08962
37.69,-121.88
38.34743,-120.772
39.36701,-121.689
39.20731,-122
37.98222,-121.8054
37.98222,-121.8054
37.98222,-121.8054
37.8923,-122.05828
37.8923,-122.05828
37.8923,-122.05828
41.77278,-124.195
38.91228,-119.997
36.83745,-119.66072
36.83745,-119.66072
36.83745,-119.66072
39.52055,-122.207
40.58267,-124.135
37.36207,-118.407
36.6084,-118.058
35.63486,-118.405
35.39,-119.04
35.14302,-118.449
39.10232,-122.91
34.02,-118.1
34.09626,-117.745
34.12867,-117.866
34.04827,-118.042
